iter	Passed	Remaining
0	1	1013
1	2	1064
2	2	983
3	3	887
4	4	840
5	4	823
6	5	813
7	6	796
8	8	888
9	8	886
10	9	881
11	10	878
12	11	860
13	12	845
14	12	844
15	13	840
16	14	834
17	15	833
18	15	820
19	16	813
20	17	802
21	17	799
22	18	789
23	19	790
24	20	785
25	20	785
26	22	799
27	23	803
28	23	795
29	24	798
30	26	814
31	26	813
32	27	812
33	28	810
34	29	808
35	30	805
36	30	800
37	31	798
38	32	807
39	33	815
40	35	820
41	35	820
42	37	831
43	38	830
44	39	828
45	39	825
46	40	822
47	41	818
48	42	816
49	42	816
50	43	815
51	44	815
52	45	816
53	46	815
54	47	814
55	48	813
56	48	808
57	49	807
58	50	804
59	51	803
60	52	803
61	52	801
62	53	799
63	54	798
64	55	795
65	56	794
66	56	791
67	57	790
68	58	789
69	59	787
70	60	785
71	60	782
72	61	779
73	62	778
74	62	775
75	63	774
76	64	774
77	65	773
78	66	772
79	66	769
80	67	766
81	68	765
82	69	766
83	70	764
84	70	763
85	71	760
86	72	759
87	73	758
88	73	756
89	74	755
90	75	754
91	76	751
92	76	750
93	77	747
94	78	745
95	78	743
96	79	742
97	80	739
98	81	738
99	81	736
100	82	736
101	83	734
102	84	732
103	84	731
104	85	730
105	86	728
106	87	726
107	87	725
108	88	725
109	89	727
110	90	727
111	91	726
112	92	725
113	93	723
114	93	722
115	94	720
116	95	720
117	96	718
118	96	716
119	97	717
120	98	717
121	99	717
122	100	716
123	101	716
124	102	717
125	103	717
126	104	716
127	105	716
128	105	715
129	106	714
130	107	714
131	108	714
132	109	714
133	110	714
134	111	713
135	112	712
136	112	711
137	113	710
138	114	708
139	115	707
140	115	705
141	116	704
142	117	703
143	118	701
144	118	700
145	119	699
146	120	699
147	121	698
148	122	697
149	122	696
150	123	695
151	124	694
152	125	694
153	126	693
154	127	693
155	127	692
156	128	691
157	129	690
158	130	688
159	131	688
160	131	686
161	132	685
162	133	684
163	134	683
164	134	682
165	135	681
166	136	679
167	136	678
168	137	676
169	138	675
170	139	674
171	139	673
172	140	671
173	141	670
174	141	669
175	142	667
176	143	665
177	143	664
178	144	663
179	145	661
180	146	660
181	146	659
182	147	658
183	148	657
184	148	656
