iter	Passed	Remaining
0	21	21537
1	40	20155
2	56	18862
3	73	18228
4	89	17895
5	105	17460
6	120	17101
7	136	16942
8	150	16606
9	164	16327
10	179	16110
11	194	15977
12	208	15801
13	222	15670
14	236	15547
15	251	15451
16	264	15307
17	278	15207
18	292	15120
19	306	15034
20	321	14984
21	334	14873
22	348	14793
23	361	14697
24	375	14629
25	388	14542
26	401	14472
27	415	14418
28	428	14333
29	441	14261
30	453	14175
31	466	14100
32	478	14020
33	491	13954
34	504	13919
35	518	13894
36	532	13862
37	545	13820
38	559	13783
39	572	13728
40	584	13678
41	597	13626
42	609	13575
43	622	13533
44	634	13475
45	647	13423
46	659	13368
47	671	13313
48	682	13247
49	694	13188
50	705	13136
51	718	13092
52	730	13044
53	742	13001
54	753	12949
55	765	12901
56	776	12847
57	788	12806
58	800	12767
59	812	12726
60	824	12684
61	835	12641
62	846	12595
63	859	12573
64	871	12540
65	883	12505
66	895	12468
67	907	12436
68	919	12405
69	930	12367
70	943	12341
71	956	12332
72	969	12314
73	982	12298
74	994	12269
75	1007	12251
76	1019	12221
77	1031	12194
78	1044	12172
79	1056	12144
80	1068	12121
81	1080	12095
82	1092	12066
83	1104	12042
84	1116	12023
85	1129	12000
86	1140	11973
87	1153	11950
88	1165	11924
89	1176	11900
90	1188	11873
91	1200	11845
92	1211	11819
93	1224	11801
94	1236	11777
95	1248	11753
96	1260	11729
97	1271	11707
98	1284	11686
99	1295	11663
100	1307	11636
101	1319	11614
102	1331	11597
103	1343	11577
104	1355	11556
105	1367	11534
106	1379	11512
107	1391	11492
108	1403	11476
109	1416	11456
110	1428	11442
111	1440	11422
112	1452	11398
113	1464	11378
114	1475	11358
115	1487	11336
116	1500	11321
117	1512	11305
118	1524	11284
119	1536	11265
120	1547	11244
121	1559	11224
122	1571	11202
123	1583	11184
124	1595	11166
125	1607	11147
126	1618	11128
127	1630	11108
128	1642	11087
129	1654	11069
130	1665	11046
131	1677	11027
132	1688	11009
133	1700	10991
134	1712	10972
135	1723	10949
136	1735	10931
137	1747	10916
138	1759	10900
139	1771	10883
140	1783	10865
141	1795	10850
142	1807	10835
143	1819	10816
144	1831	10799
145	1844	10787
146	1856	10771
147	1867	10751
148	1879	10734
149	1891	10715
150	1903	10701
151	1914	10683
152	1926	10664
153	1937	10645
154	1949	10629
155	1961	10613
156	1975	10608
157	2000	10659
158	2012	10645
159	2024	10629
160	2036	10612
161	2048	10597
162	2060	10580
163	2072	10565
164	2085	10551
165	2096	10532
166	2107	10512
167	2119	10495
168	2130	10476
169	2142	10461
170	2154	10447
171	2166	10427
172	2177	10408
173	2189	10391
174	2200	10374
175	2212	10356
176	2223	10340
177	2235	10323
178	2247	10307
179	2259	10292
180	2270	10273
181	2282	10257
182	2294	10245
183	2307	10232
184	2319	10219
185	2332	10207
186	2344	10194
187	2357	10183
188	2370	10169
189	2382	10156
190	2395	10144
191	2406	10129
192	2418	10111
193	2429	10094
194	2441	10078
