iter	Logloss
0	0.3050046343
1	0.237092635
2	0.1990234154
3	0.1894888863
4	0.1824146437
5	0.1793822047
6	0.1760470757
7	0.1743949588
8	0.1717229247
9	0.1708622038
10	0.1701016803
11	0.1695871644
12	0.168814595
13	0.1682423037
14	0.1680109866
15	0.1676206781
16	0.1673654056
17	0.1672270742
18	0.1670245722
19	0.1665098464
20	0.1661179944
21	0.1657547632
22	0.1648201932
23	0.1641949901
24	0.1635009467
25	0.1627464555
26	0.1624269226
27	0.1617454296
28	0.1612700734
29	0.1609092283
30	0.16068062
31	0.1604355608
32	0.1604353838
33	0.1601568148
34	0.1596384923
35	0.1593984017
36	0.1585871563
37	0.1584005695
38	0.1579966935
39	0.1575222577
40	0.1571609673
41	0.1571148061
42	0.15704996
43	0.1565239137
44	0.1565185074
45	0.1564624045
46	0.1561774202
47	0.1558374033
48	0.1554667587
49	0.1549724186
50	0.1549507685
51	0.1546337965
52	0.1545025804
53	0.1543982782
54	0.1541690198
55	0.154008853
56	0.1536473734
57	0.1534407519
58	0.1532923576
59	0.1523430411
60	0.1518861433
61	0.1515096374
62	0.1512889863
63	0.1510392187
64	0.1506717729
65	0.1502928734
66	0.150010091
67	0.1488883414
68	0.1487994377
69	0.1487992171
70	0.1482603239
71	0.1473611251
72	0.1464794616
73	0.1461593325
74	0.1458834137
75	0.1456581204
76	0.1454590149
77	0.1451256629
78	0.1448461801
79	0.1445516071
