iter	Passed	Remaining
0	20	1651
1	44	1716
2	82	2112
3	117	2241
4	154	2324
5	190	2348
6	229	2396
7	267	2405
8	302	2384
9	337	2362
10	372	2338
11	412	2336
12	451	2328
13	490	2311
14	529	2294
15	574	2298
16	610	2262
17	644	2221
18	682	2190
19	718	2154
20	751	2111
21	786	2073
22	822	2038
23	858	2002
24	892	1963
25	928	1928
26	964	1893
27	1000	1857
28	1036	1822
29	1073	1789
30	1109	1753
31	1144	1717
32	1180	1681
33	1216	1646
34	1271	1635
35	1310	1601
36	1348	1567
37	1382	1527
38	1416	1489
39	1454	1454
40	1488	1416
41	1523	1378
42	1559	1342
43	1595	1305
44	1630	1268
45	1665	1230
46	1699	1192
47	1736	1157
48	1769	1119
49	1804	1082
50	1839	1046
51	1874	1009
52	1908	972
53	1942	935
54	1978	899
55	2012	862
56	2054	829
57	2089	792
58	2125	756
59	2160	720
60	2197	684
61	2233	648
62	2268	612
63	2302	575
64	2337	539
65	2373	503
66	2407	467
67	2443	431
68	2479	395
69	2511	358
70	2547	322
71	2581	286
72	2616	250
73	2652	215
74	2688	179
75	2725	143
76	2761	107
77	2800	71
78	2834	35
79	2868	0
