iter	Logloss
0	0.3971306723
1	0.2946036254
2	0.2446099231
3	0.2211549622
4	0.200582287
5	0.1912649126
6	0.1844001862
7	0.1814791049
8	0.1788131489
9	0.1772081552
10	0.1759964191
11	0.1756791875
12	0.1747632036
13	0.1741151068
14	0.1737087249
15	0.1735967659
16	0.1731423318
17	0.1730916316
18	0.1730211559
19	0.1726931201
20	0.1720139569
21	0.1718006447
22	0.1705773595
23	0.1699711169
24	0.1696500575
25	0.1695909353
26	0.1692754532
27	0.168424433
28	0.1683136085
29	0.1679855712
30	0.1674992509
31	0.1673774835
32	0.1673363493
33	0.1672173943
34	0.1669509757
35	0.1668463417
36	0.1667474645
37	0.1667302153
38	0.1666675142
39	0.1666540804
40	0.1663713653
41	0.1663139272
42	0.166165479
43	0.1658663611
44	0.1658003807
45	0.1657417494
46	0.1656397574
47	0.1655330732
48	0.1654662131
49	0.1654580665
50	0.1653993265
51	0.1652614723
52	0.1650901385
53	0.1650486408
54	0.1648968202
55	0.1646917647
56	0.1646653978
57	0.164453197
58	0.1638393302
59	0.1635537769
60	0.1634432493
61	0.1630070061
62	0.1628034075
63	0.1626421501
64	0.1626240549
65	0.1626220171
66	0.1626206381
67	0.1625982287
68	0.1622916981
69	0.1621394645
70	0.1619764619
71	0.1618729574
72	0.1617670957
73	0.1617086891
74	0.1617006941
75	0.1615716851
76	0.1614457617
77	0.1614201216
78	0.1612509514
79	0.1612502369
80	0.1610945262
81	0.1610414154
82	0.160805588
83	0.1607440075
84	0.1606821402
85	0.160673583
86	0.1605991397
87	0.1604345259
88	0.1603514854
89	0.1602348272
90	0.1598150825
91	0.1595263228
92	0.1593363726
93	0.1590985173
94	0.1589556826
95	0.1588500913
96	0.1586586016
97	0.158549417
98	0.1584319474
99	0.1583377077
