iter	Passed	Remaining
0	14	1421
1	21	1071
2	56	1833
3	79	1916
4	107	2038
5	130	2043
6	175	2338
7	218	2511
8	240	2432
9	264	2377
10	287	2327
11	311	2286
12	333	2231
13	353	2169
14	373	2118
15	395	2075
16	417	2037
17	441	2009
18	465	1982
19	487	1951
20	510	1921
21	533	1893
22	557	1867
23	582	1844
24	606	1818
25	630	1793
26	654	1770
27	679	1747
28	704	1724
29	727	1697
30	751	1672
31	774	1645
32	810	1644
33	833	1618
34	857	1592
35	880	1565
36	904	1539
37	927	1514
38	965	1510
39	1016	1524
40	1048	1508
41	1085	1499
42	1126	1492
43	1189	1513
44	1217	1488
45	1240	1456
46	1260	1421
47	1279	1386
48	1298	1351
49	1320	1320
50	1339	1287
51	1359	1254
52	1382	1225
53	1406	1198
54	1428	1168
55	1448	1137
56	1467	1106
57	1492	1080
58	1519	1056
59	1546	1031
60	1567	1002
61	1587	973
62	1607	944
63	1629	916
64	1650	888
65	1669	860
66	1688	831
67	1708	803
68	1728	776
69	1748	749
70	1770	723
71	1797	699
72	1818	672
73	1840	646
74	1859	619
75	1877	593
76	1896	566
77	1917	540
78	1938	515
79	1960	490
80	1983	465
81	2005	440
82	2029	415
83	2052	390
84	2074	366
85	2096	341
86	2120	316
87	2143	292
88	2165	267
89	2187	243
90	2211	218
91	2238	194
92	2265	170
93	2287	146
94	2310	121
95	2332	97
96	2367	73
97	2388	48
98	2418	24
99	2443	0
