iter	Passed	Remaining
0	22	2240
1	48	2392
2	75	2425
3	119	2866
4	170	3246
5	195	3061
6	220	2933
7	247	2844
8	271	2745
9	295	2655
10	317	2568
11	338	2484
12	360	2410
13	378	2327
14	398	2260
15	417	2190
16	435	2127
17	458	2087
18	479	2042
19	499	1998
20	521	1960
21	542	1923
22	567	1899
23	592	1877
24	625	1876
25	662	1884
26	711	1924
27	742	1908
28	796	1950
29	833	1945
30	853	1900
31	874	1859
32	893	1814
33	913	1772
34	933	1733
35	959	1704
36	1005	1712
37	1046	1707
38	1089	1704
39	1129	1694
40	1149	1654
41	1170	1616
42	1192	1580
43	1214	1545
44	1236	1511
45	1257	1476
46	1279	1443
47	1299	1408
48	1319	1373
49	1339	1339
50	1368	1314
51	1389	1282
52	1408	1249
53	1434	1221
54	1453	1188
55	1475	1159
56	1495	1128
57	1515	1097
58	1536	1067
59	1562	1041
60	1584	1012
61	1604	983
62	1624	954
63	1644	925
64	1664	896
65	1686	868
66	1703	839
67	1723	810
68	1743	783
69	1762	755
70	1783	728
71	1811	704
72	1846	683
73	1867	656
74	1889	629
75	1910	603
76	1929	576
77	1949	549
78	1970	523
79	1991	497
80	2011	471
81	2032	446
82	2051	420
83	2071	394
84	2092	369
85	2112	343
86	2132	318
87	2157	294
88	2194	271
89	2215	246
90	2235	221
91	2254	196
92	2273	171
93	2295	146
94	2316	121
95	2336	97
96	2356	72
97	2375	48
98	2394	24
99	2414	0
